,imdb_title_id,title,year,genre,country,budget,worlwide_gross_income,production_company
4334,tt0035423,Kate & Leopold,2001,"Comedy, Fantasy, Romance",USA,48000000,76019048,Konrad Pictures
28888,tt0113026,The Fantasticks,2000,"Musical, Romance",USA,10000000,49666,Michael Ritchie Productions
30350,tt0118589,Glitter,2001,"Drama, Music, Romance",USA,22000000,5271666,Twentieth Century Fox
31140,tt0120467,Vulgar,2000,"Crime, Drama, Thriller",USA,120000,15927,Chango Productions
31214,tt0120630,Galline in fuga,2000,"Animation, Adventure, Comedy","UK, USA, France",45000000,224834564,Aardman Animations
31237,tt0120667,I Fantastici 4,2005,"Action, Adventure, Fantasy","USA, Germany",100000000,333535934,Twentieth Century Fox
31242,tt0120679,Frida,2002,"Biography, Drama, Romance","Mexico, USA, Canada",12000000,56298474,Handprint Entertainment
31244,tt0120681,La vera storia di Jack lo Squartatore,2001,"Horror, Mystery, Thriller","USA, Czech Republic, UK",35000000,74558115,Twentieth Century Fox
31279,tt0120737,Il Signore degli Anelli - La compagnia dell'Anello,2001,"Action, Adventure, Drama","New Zealand, USA",93000000,887934303,New Line Cinema
31289,tt0120753,The Million Dollar Hotel,2000,"Drama, Mystery, Thriller","Germany, UK, USA",8000000,105983,Icon Entertainment International
31291,tt0120755,Mission: Impossible II,2000,"Action, Adventure, Thriller","USA, Germany",125000000,546388108,Paramount Pictures
31326,tt0120804,Resident Evil,2002,"Action, Horror, Sci-Fi","UK, Germany, USA",33000000,102984862,Constantin Film
31335,tt0120824,The Shipping News - Ombre dal profondo,2001,Drama,"Canada, USA",38000000,24690441,Miramax
31381,tt0120903,X-Men,2000,"Action, Adventure, Sci-Fi",USA,75000000,296339528,Twentieth Century Fox
31385,tt0120912,Men in Black II,2002,"Action, Adventure, Comedy",USA,140000000,445135288,Columbia Pictures
31386,tt0120913,Titan A.E.,2000,"Animation, Action, Adventure",USA,75000000,36754634,David Kirschner Productions
31388,tt0120917,Le follie dell'imperatore,2000,"Animation, Adventure, Comedy",USA,100000000,169327687,Walt Disney Animation Studios
31395,tt0121164,La sposa cadavere,2005,"Animation, Drama, Family","USA, UK",40000000,118090836,Warner Bros.
31430,tt0121765,Star Wars: Episodio II - L'attacco dei cloni,2002,"Action, Adventure, Fantasy",USA,115000000,653779970,Lucasfilm
31431,tt0121766,Star Wars: Episodio III - La vendetta dei Sith,2005,"Action, Adventure, Fantasy",USA,113000000,868390560,Lucasfilm
31488,tt0122459,Return to Me,2000,"Comedy, Drama, Romance",USA,24000000,36609995,Metro-Goldwyn-Mayer (MGM)
31722,tt0125022,Heartbreakers - Vizio di famiglia,2001,"Comedy, Crime, Romance",USA,35000000,57756408,Davis Entertainment
31795,tt0126029,Shrek,2001,"Animation, Adventure, Comedy",USA,60000000,487769799,DreamWorks Animation
31893,tt0127349,Waking the Dead,2000,"Drama, Mystery, Romance","USA, Canada",8500000,270745,Polygram Filmed Entertainment
32104,tt0130623,Dinosauri,2000,"Animation, Adventure, Family",USA,127500000,349822765,Walt Disney Pictures
32157,tt0131704,Le avventure di Rocky e Bullwinkle,2000,"Animation, Adventure, Comedy","USA, Germany, South Korea, India, Canada",76000000,35134820,Capella International
32178,tt0132245,Driven,2001,"Action, Drama, Sport","USA, Canada, Australia",94000000,54744738,Franchise Pictures
