title,genre,Ratings
I sogni segreti di Walter Mitty,Comedy,7.3
La preda perfetta,Action,6.5
Jurassic World,Action,7.0
I tre marmittoni,Comedy,5.1
Motherless Brooklyn - I segreti di una città,Crime,6.8
John Carter,Action,6.6
The Possession,Horror,5.9
Alita - Angelo della battaglia,Action,7.3
Lincoln,Biography,7.3
Shazam!,Action,7.0
Wonder Woman,Action,7.4
42 - La vera storia di una leggenda americana,Biography,7.5
Vita di Pi,Adventure,7.9
The Equalizer - Il vendicatore,Action,7.2
Sin City - Una donna per cui uccidere,Action,6.5
"Ave, Cesare!",Comedy,6.3
Ant-Man,Action,7.3
I Croods,Animation,7.2
Red Tails,Action,5.9
Silence,Drama,7.2
"CHIPS, (dis)ordine pubblico",Action,6.0
The Ring 3,Drama,4.5
Syrup,Comedy,5.6
Una bugia di troppo,Comedy,5.9
Fuga dal pianeta Terra,Animation,5.9
L'uomo d'acciaio,Action,7.0
Kid Cannabis,Biography,6.4
Era mio figlio,Drama,6.8
Boxtrolls - Le scatole magiche,Animation,6.8
L'incredibile Burt Wonderstone,Comedy,5.9
Dallas Buyers Club,Biography,8.0
Jack Reacher - La prova decisiva,Action,7.0
R.I.P.D. - Poliziotti dall'aldilà,Action,5.6
Scary Movie 5,Comedy,3.5
Devil's Knot - Fino a prova contraria,Biography,6.1
Storia di una ladra di libri,Drama,7.5
Interstellar,Adventure,8.6
World War Z,Action,7.0
The Power of Few,Action,5.2
Dracula Untold,Action,6.3
Godzilla,Action,6.4
Approaching Midnight,Crime,4.2
Hotel Transylvania,Animation,7.1
Pet Sematary,Horror,5.7
The Avengers,Action,8.0
Epic - Il mondo segreto,Animation,6.7
Super Troopers 2,Comedy,6.0
Mr. Peabody e Sherman,Animation,6.8
Snitch - L'infiltrato,Action,6.4
Il magico mondo di Oz,Animation,5.1
Un testimone in affitto,Comedy,6.6
Love & Mercy,Biography,7.4
The Amazing Spider-Man,Action,6.9
Reach Me - La strada per il successo,Comedy,4.9
Justice League,Action,6.1
Hitchcock,Biography,6.8
Fantasy Island,Action,4.9
The Wolf of Wall Street,Biography,8.2
The Courier,Action,4.5
The Young Messiah,Drama,5.7
Countdown,Horror,5.4
Il giorno sbagliato,Action,6.0
The Sisterhood of Night,Drama,6.2
All'ultimo voto,Comedy,6.1
Argo,Biography,7.7
The People I've Slept With,Comedy,4.9
The Pardon,Crime,5.5
Poltergeist,Horror,4.9
Force of Nature,Action,4.5
Hercules - La leggenda ha inizio,Action,4.2
Il lato positivo - Silver Linings Playbook,Comedy,7.7
Parental Guidance,Comedy,6.0
Black Christmas,Horror,3.4
Piccoli brividi,Adventure,6.3
K-12,Fantasy,6.5
Transit,Action,5.8
Boyhood,Drama,7.9
Adult World,Comedy,6.1
Dark Shadows,Comedy,6.2
The Belko Experiment: Chi sopravviverà?,Horror,6.1
The Prince - Tempo di uccidere,Action,4.6
Insieme per forza,Comedy,6.5
Lone Survivor,Action,7.5
BuzzKill,Comedy,4.5
Foxcatcher: Una storia americana,Biography,7.0
Inside the Rain,Comedy,4.4
Good Ol' Boy,Comedy,6.8
Il settimo figlio,Action,5.5
Art of Submission,Action,4.0
Free State of Jones,Action,6.9
Big Eyes,Biography,7.0
Una ragazza a Las Vegas,Comedy,4.8
Il giustiziere della notte - Death Wish,Action,6.3
Accidental Love,Comedy,4.1
Frankenweenie,Animation,6.9
L'amore in valigia,Comedy,5.1
Demolition: Amare e vivere,Action,7.0
A spasso nel bosco,Adventure,6.4
10 Cloverfield Lane,Action,7.2
The Bourne Legacy,Action,6.6
5 anni di fidanzamento,Comedy,6.2
Last Vegas,Comedy,6.6
Ouija,Horror,4.5
Jack Ryan - L'iniziazione,Action,6.2
Rambo: Last Blood,Action,6.1
The Lone Ranger,Action,6.4
Doctor Strange,Action,7.5
Middle of Nowhere,Drama,6.4
Escape Plan - Fuga dall'inferno,Action,6.7
Civiltà perduta,Biography,6.6
Lawless,Crime,7.3
First Man - Il primo uomo,Biography,7.3
Ribelle: The Brave,Animation,7.1
Trilli e il segreto delle ali,Animation,7.1
Ghost in the Shell,Action,6.3
La grande Gilly Hopkins,Comedy,6.5
Beautiful Boy,Biography,7.3
Anchorman 2 - Fotti la notizia,Comedy,6.3
Diverso come me,Biography,6.6
Not Fade Away,Drama,6.0
Indovina perché ti odio,Comedy,5.5
21 Jump Street,Action,7.2
Red Dawn - Alba rossa,Action,5.4
RoboCop,Action,6.1
Broken City,Action,6.2
Locker 13,Thriller,4.8
Sotto il cielo delle Hawaii,Comedy,5.4
Facciamola finita,Comedy,6.6
300 - L'alba di un impero,Action,6.2
Holmes & Watson - 2 de menti al servizio della regina,Comedy,3.8
L'uomo con i pugni di ferro,Action,5.4
Nella tana dei lupi,Action,7.0
Hercules: Il guerriero,Action,6.0
Cani sciolti,Action,6.7
Looper,Action,7.4
Madagascar 3 - Ricercati in Europa,Animation,6.8
Wedding Palace,Comedy,5.8
The Strangers: Prey at Night,Horror,5.2
La casa,Fantasy,6.5
Ghostbusters,Action,6.6
Tartarughe Ninja,Action,5.8
Dietro i candelabri,Biography,7.0
Single ma non troppo,Comedy,6.1
Attenti a quelle due,Comedy,5.4
Vicini del terzo tipo,Comedy,5.7
Iron Man 3,Action,7.1
The Irishman,Biography,7.8
Cercasi amore per la fine del mondo,Adventure,6.7
Pupazzi senza gloria,Action,5.4
Jimmy Bobo - Bullet to the Head,Action,5.7
Oldboy,Action,5.7
Gangster Squad,Action,6.7
I segreti di Osage County,Comedy,7.2
Cate McCall - Il confine della verità,Crime,6.3
Ho cercato il tuo nome,Drama,6.5
The Butler - Un maggiordomo alla Casa Bianca,Biography,7.2
Comic Movie,Comedy,4.3
47 Ronin,Action,6.3
Rock of Ages,Comedy,5.9
Terminator Genisys,Action,6.3
Resta anche domani,Drama,6.7
Passengers,Drama,7.0
Black Mass - L'ultimo gangster,Biography,6.9
Beasts of No Nation,Drama,7.7
Lowriders,Adventure,5.7
La fredda luce del giorno,Action,4.9
Cloud Atlas,Action,7.4
This Is Where I Leave You,Comedy,6.6
PPZ: Pride and Prejudice and Zombies,Action,5.8
La regola del silenzio - The Company You Keep,Drama,6.4
Suicide Squad,Action,5.9
Total Recall - Atto di forza,Action,6.2
Downsizing - Vivere alla grande,Drama,5.7
Uomini di parola,Comedy,6.5
Quando l'amore si spezza,Crime,5.2
Heart of the Sea - Le origini di Moby Dick,Action,6.9
Hunger Games,Action,7.2
Prisoners,Crime,8.1
Viaggio nell'isola misteriosa,Action,5.8
Straight Outta Compton,Biography,7.8
A Boy Called Po,Drama,6.6
Into Darkness - Star Trek,Action,7.7
Poliziotto in prova,Action,6.2
Men in Black 3,Action,6.8
Tavolo 19,Comedy,5.8
12 Soldiers,Action,6.6
Il potere dei soldi,Drama,5.7
"I, Frankenstein",Action,5.1
Lovelace,Biography,6.2
Wolverine - L'immortale,Action,6.7
Qualcosa di straordinario,Biography,6.5
Deadpool,Action,8.0
Disconnect,Drama,7.5
The Apparition,Horror,4.1
Battleship,Action,5.8
Le lettere di Madre Teresa,Drama,6.2
Le 5 leggende,Animation,7.3
Prometheus,Adventure,7.0
Monsters University,Animation,7.2
The Haunting in Connecticut 2: Ghosts of Georgia,Drama,5.3
L'evocazione - The Conjuring,Horror,7.5
Kidnap,Action,5.9
L'incredibile vita di Timothy Green,Comedy,6.6
Annie Parker,Drama,6.2
Bridget Jones's Baby,Comedy,6.5
Aquaman,Action,6.9
Attraverso i miei occhi,Comedy,7.6
Abattoir,Horror,4.5
Lorax - Il guardiano della foresta,Animation,6.4
Oblivion,Action,7.0
Innamorarsi a Middleton,Comedy,6.5
"No God, No Master",Crime,5.9
The Greatest Showman,Biography,7.6
The Raven,Crime,6.4
La rivincita delle sfigate,Comedy,7.2
Una spia e mezzo,Action,6.3
The Lego Movie,Animation,7.7
I Saw the Light,Biography,5.8
The Iceman,Biography,6.8
Underworld - Il risveglio,Action,6.3
The Paperboy,Crime,5.8
Bad Boys for Life,Action,6.6
Halloween,Crime,6.5
Fantastic 4 - I fantastici quattro,Action,4.2
Dark Tide,Action,4.3
The Host,Action,5.9
A Star Is Born,Drama,7.6
Area 51,Horror,4.2
The Oogieloves in the Big Balloon Adventure,Adventure,2.1
Contraband,Action,6.4
The Vatican Tapes,Horror,4.8
Come ti rovino le vacanze,Adventure,6.1
Daddy's Home,Comedy,6.2
Line of Duty,Action,5.1
Battle of the Year - La vittoria è in ballo,Drama,5.0
Elysium,Action,6.6
Captain Phillips - Attacco in mare aperto,Adventure,7.8
Il matrimonio che vorrei,Comedy,6.3
Shadowhunters - Città di ossa,Action,5.9
Quello che so sull'amore,Comedy,5.7
Vamps,Comedy,5.2
Senza freni,Action,6.5
The Last Stand - L'ultima sfida,Action,6.3
Beautiful Creatures - La sedicesima luna,Drama,6.1
Zombieland - Doppio colpo,Action,6.7
The Master,Drama,7.2
L'altra faccia del diavolo,Horror,4.2
Overboard,Comedy,6.0
Not Today,Drama,5.6
Viaggio in paradiso,Action,7.0
40 carati,Action,6.6
The Humbling,Comedy,5.6
Macchine mortali,Action,6.1
Non aprite quella porta 3D,Horror,4.8
G.I. Joe - La vendetta,Action,5.8
Che cosa aspettarsi quando si aspetta,Comedy,5.7
Maleficent,Action,7.0
Warm Bodies,Comedy,6.8
Greystone Park,Horror,3.2
L'uomo sul treno,Action,6.3
Act of Valor,Action,6.5
LOL - Pazza del mio migliore amico,Comedy,4.4
Il viaggio di Norm,Animation,3.4
La grande partita,Biography,7.0
Una spia non basta,Action,6.3
La grande scommessa,Biography,7.8
One for the Money,Action,5.3
Chi è senza colpa,Crime,7.1
ATM - Trappola mortale,Horror,4.7
My Uncle Rafael,Comedy,6.0
American Pie: Ancora insieme,Comedy,6.7
Beyond the Farthest Star,Drama,7.1
Die Hard - Un buon giorno per morire,Action,5.3
La memoria del cuore,Drama,6.8
Zoolander 2,Action,4.7
La leggenda del cacciatore di vampiri,Action,5.9
Le belve,Crime,6.5
Jupiter - Il destino dell'universo,Action,5.3
I'm in Love with a Church Girl,Crime,4.4
The Last Witch Hunter - L'ultimo cacciatore di streghe,Action,6.0
Jackie,Biography,6.7
A Wrinkle in Time,Adventure,4.2
Bleed - Più forte del destino,Biography,6.8
Free Birds - Tacchini in fuga,Animation,5.8
Think Like a Man,Comedy,6.5
Cesar Chavez,Biography,6.4
Il grande e potente Oz,Adventure,6.3
ParaNorman,Animation,7.0
Independence Day - Rigenerazione,Action,5.2
Chasing Mavericks - Sulla cresta dell'onda,Biography,7.1
Edge of Tomorrow - Senza domani,Action,7.9
Bloodshot,Action,5.7
Project X - Una festa che spacca,Comedy,6.6
Ted,Comedy,6.9
Operazione U.N.C.L.E.,Action,7.3
The Expatriate - In fuga dal nemico,Action,6.1
Il dittatore,Comedy,6.4
Dragon Trainer 2,Animation,7.8
Million Dollar Arm,Biography,7.0
Colpi da maestro,Action,6.4
La torre nera,Action,5.6
Dysfunctional Friends,Comedy,5.0
Adaline - L'eterna giovinezza,Drama,7.2
Stolen,Action,5.5
Safe,Action,6.5
Non lasciarmi sola,Drama,6.5
"Freeheld: Amore, giustizia, uguaglianza",Biography,6.6
I bambini di Cold Rock,Crime,5.9
Spiders 3D,Action,3.3
Noi siamo infinito,Drama,7.9
Universal Soldier - Il giorno del giudizio,Action,5.0
Cenerentola,Drama,6.9
Il grande match,Comedy,6.4
Cut Bank,Crime,6.1
Nothing Left to Fear,Horror,4.4
Fun Size,Adventure,5.4
Revenant - Redivivo,Action,8.0
Life of Crime: Scambio a sorpresa,Comedy,5.8
Crazy Eyes,Comedy,4.0
Martyrs,Drama,4.0
Pacific Rim,Action,6.9
All Eyez on Me,Biography,5.9
